msoa21cd,msoa21nm,overcrowded_2011,total_2011,rate_2011,overcrowded_2021,total_2021,rate_2021,rate_change_pp
E02000653,Lewisham 001,573,3547,16.1545,753,5293,14.2263,-1.9282
E02000654,Lewisham 002,666,3336,19.9640,681,3596,18.9377,-1.0263
E02000655,Lewisham 003,657,3366,19.5187,717,4007,17.8937,-1.6250
E02000657,Lewisham 005,603,3776,15.9693,483,3990,12.1053,-3.8640
E02000658,Lewisham 006,472,3538,13.3409,441,3459,12.7493,-0.5915
E02000659,Lewisham 007,324,3284,9.8660,246,3541,6.9472,-2.9188
E02000660,Lewisham 008,445,3659,12.1618,342,3603,9.4921,-2.6697
E02000661,Lewisham 009,199,3139,6.3396,224,3044,7.3587,1.0191
E02000662,Lewisham 010,441,3317,13.2951,404,3305,12.2239,-1.0712
E02000663,Lewisham 011,424,2903,14.6056,256,2817,9.0877,-5.5179
E02000665,Lewisham 013,349,3504,9.9600,284,3415,8.3163,-1.6438
E02000666,Lewisham 014,343,2859,11.9972,271,2735,9.9086,-2.0886
E02000667,Lewisham 015,200,2595,7.7071,143,2523,5.6679,-2.0393
E02000668,Lewisham 016,193,2816,6.8537,181,2727,6.6373,-0.2164
E02000669,Lewisham 017,452,3270,13.8226,344,3308,10.3990,-3.4236
E02000670,Lewisham 018,398,2748,14.4833,396,2782,14.2344,-0.2489
E02000671,Lewisham 019,377,3668,10.2781,280,3682,7.6046,-2.6735
E02000672,Lewisham 020,512,3509,14.5911,554,4203,13.1811,-1.4100
E02000673,Lewisham 021,297,3490,8.5100,245,3495,7.0100,-1.5000
E02000674,Lewisham 022,294,3020,9.7351,280,3057,9.1593,-0.5758
E02000675,Lewisham 023,268,3419,7.8385,307,3420,8.9766,1.1381
E02000676,Lewisham 024,371,3252,11.4084,273,3190,8.5580,-2.8504
E02000677,Lewisham 025,269,2692,9.9926,275,2642,10.4088,0.4162
E02000678,Lewisham 026,286,2432,11.7599,376,2614,14.3841,2.6242
E02000679,Lewisham 027,322,3455,9.3198,337,3374,9.9881,0.6683
E02000680,Lewisham 028,338,3016,11.2069,299,2913,10.2643,-0.9426
E02000681,Lewisham 029,383,3268,11.7197,403,3351,12.0263,0.3066
E02000682,Lewisham 030,314,3095,10.1454,437,3218,13.5799,3.4345
E02000683,Lewisham 031,271,2763,9.8082,289,2724,10.6094,0.8012
E02000685,Lewisham 033,339,3357,10.0983,375,3423,10.9553,0.8570
E02000686,Lewisham 034,406,2839,14.3008,449,3044,14.7503,0.4495
E02000687,Lewisham 035,351,3436,10.2154,364,3456,10.5324,0.3170
E02006783,Lewisham 037,362,2893,12.5130,452,2895,15.6131,3.1002
E02006784,Lewisham 038,312,3168,9.8485,382,3123,12.2318,2.3833
E02006798,Lewisham 039,545,3210,16.9782,564,3773,14.9483,-2.0299
E02007008,Lewisham 040,,,,277,2661,10.4096,
E02007009,Lewisham 041,,,,580,3987,14.5473,
