"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","C2021_OCCRAT_BEDROOMS_6","C2021_OCCRAT_BEDROOMS_6_NAME","C2021_OCCRAT_BEDROOMS_6_CODE","C2021_OCCRAT_BEDROOMS_6_TYPE","C2021_OCCRAT_BEDROOMS_6_TYPECODE","C2021_OCCRAT_BEDROOMS_6_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2021","2021","2021","date",0,0,"E02000653","Lewisham 001","E02000653","2021 super output areas - middle layer",152,0,"0","Total: All households","0","Occupancy rating for bedrooms",1000000,0,"20100","Value",5293,"A","Normal Value","F","Free (free for publication)","Nm-2070d1d32336e0d637534829d0d20100",0,222
"2021","2021","2021","date",0,0,"E02000653","Lewisham 001","E02000653","2021 super output areas - middle layer",152,0,"1","Occupancy rating of bedrooms: +2 or more","_1","Occupancy rating for bedrooms",1000000,1,"20100","Value",387,"A","Normal Value","F","Free (free for publication)","Nm-2070d1d32336e0d637534829d1d20100",1,222
"2021","2021","2021","date",0,0,"E02000653","Lewisham 001","E02000653","2021 super output areas - middle layer",152,0,"2","Occupancy rating of bedrooms: +1","_2","Occupancy rating for bedrooms",1000000,2,"20100","Value",1326,"A","Normal Value","F","Free (free for publication)","Nm-2070d1d32336e0d637534829d2d20100",2,222
"2021","2021","2021","date",0,0,"E02000653","Lewisham 001","E02000653","2021 super output areas - middle layer",152,0,"3","Occupancy rating of bedrooms: 0","_3","Occupancy rating for bedrooms",1000000,3,"20100","Value",2827,"A","Normal Value","F","Free (free for publication)","Nm-2070d1d32336e0d637534829d3d20100",3,222
"2021","2021","2021","date",0,0,"E02000653","Lewisham 001","E02000653","2021 super output areas - middle layer",152,0,"4","Occupancy rating of bedrooms: -1","_4","Occupancy rating for bedrooms",1000000,4,"20100","Value",574,"A","Normal Value","F","Free (free for publication)","Nm-2070d1d32336e0d637534829d4d20100",4,222
"2021","2021","2021","date",0,0,"E02000653","Lewisham 001","E02000653","2021 super output areas - middle layer",152,0,"5","Occupancy rating of bedrooms: -2 or less","_5","Occupancy rating for bedrooms",1000000,5,"20100","Value",179,"A","Normal Value","F","Free (free for publication)","Nm-2070d1d32336e0d637534829d5d20100",5,222
"2021","2021","2021","date",0,0,"E02000654","Lewisham 002","E02000654","2021 super output areas - middle layer",152,1,"0","Total: All households","0","Occupancy rating for bedrooms",1000000,0,"20100","Value",3596,"A","Normal Value","F","Free (free for publication)","Nm-2070d1d32336e0d637534830d0d20100",6,222
"2021","2021","2021","date",0,0,"E02000654","Lewisham 002","E02000654","2021 super output areas - middle layer",152,1,"1","Occupancy rating of bedrooms: +2 or more","_1","Occupancy rating for bedrooms",1000000,1,"20100","Value",279,"A","Normal Value","F","Free (free for publication)","Nm-2070d1d32336e0d637534830d1d20100",7,222
"2021","2021","2021","date",0,0,"E02000654","Lewisham 002","E02000654","2021 super output areas - middle layer",152,1,"2","Occupancy rating of bedrooms: +1","_2","Occupancy rating for bedrooms",1000000,2,"20100","Value",772,"A","Normal Value","F","Free (free for publication)","Nm-2070d1d32336e0d637534830d2d20100",8,222
"2021","2021","2021","date",0,0,"E02000654","Lewisham 002","E02000654","2021 super output areas - middle layer",152,1,"3","Occupancy rating of bedrooms: 0","_3","Occupancy rating for bedrooms",1000000,3,"20100","Value",1864,"A","Normal Value","F","Free (free for publication)","Nm-2070d1d32336e0d637534830d3d20100",9,222
"2021","2021","2021","date",0,0,"E02000654","Lewisham 002","E02000654","2021 super output areas - middle layer",152,1,"4","Occupancy rating of bedrooms: -1","_4","Occupancy rating for bedrooms",1000000,4,"20100","Value",535,"A","Normal Value","F","Free (free for publication)","Nm-2070d1d32336e0d637534830d4d20100",10,222
"2021","2021","2021","date",0,0,"E02000654","Lewisham 002","E02000654","2021 super output areas - middle layer",152,1,"5","Occupancy rating of bedrooms: -2 or less","_5","Occupancy rating for bedrooms",1000000,5,"20100","Value",146,"A","Normal Value","F","Free (free for publication)","Nm-2070d1d32336e0d637534830d5d20100",11,222
"2021","2021","2021","date",0,0,"E02000655","Lewisham 003","E02000655","2021 super output areas - middle layer",152,2,"0","Total: All households","0","Occupancy rating for bedrooms",1000000,0,"20100","Value",4007,"A","Normal Value","F","Free (free for publication)","Nm-2070d1d32336e0d637534831d0d20100",12,222
"2021","2021","2021","date",0,0,"E02000655","Lewisham 003","E02000655","2021 super output areas - middle layer",152,2,"1","Occupancy rating of bedrooms: +2 or more","_1","Occupancy rating for bedrooms",1000000,1,"20100","Value",319,"A","Normal Value","F","Free (free for publication)","Nm-2070d1d32336e0d637534831d1d20100",13,222
"2021","2021","2021","date",0,0,"E02000655","Lewisham 003","E02000655","2021 super output areas - middle layer",152,2,"2","Occupancy rating of bedrooms: +1","_2","Occupancy rating for bedrooms",1000000,2,"20100","Value",836,"A","Normal Value","F","Free (free for publication)","Nm-2070d1d32336e0d637534831d2d20100",14,222
"2021","2021","2021","date",0,0,"E02000655","Lewisham 003","E02000655","2021 super output areas - middle layer",152,2,"3","Occupancy rating of bedrooms: 0","_3","Occupancy rating for bedrooms",1000000,3,"20100","Value",2135,"A","Normal Value","F","Free (free for publication)","Nm-2070d1d32336e0d637534831d3d20100",15,222
"2021","2021","2021","date",0,0,"E02000655","Lewisham 003","E02000655","2021 super output areas - middle layer",152,2,"4","Occupancy rating of bedrooms: -1","_4","Occupancy rating for bedrooms",1000000,4,"20100","Value",562,"A","Normal Value","F","Free (free for publication)","Nm-2070d1d32336e0d637534831d4d20100",16,222
"2021","2021","2021","date",0,0,"E02000655","Lewisham 003","E02000655","2021 super output areas - middle layer",152,2,"5","Occupancy rating of bedrooms: -2 or less","_5","Occupancy rating for bedrooms",1000000,5,"20100","Value",155,"A","Normal Value","F","Free (free for publication)","Nm-2070d1d32336e0d637534831d5d20100",17,222
"2021","2021","2021","date",0,0,"E02000657","Lewisham 005","E02000657","2021 super output areas - middle layer",152,3,"0","Total: All households","0","Occupancy rating for bedrooms",1000000,0,"20100","Value",3990,"A","Normal Value","F","Free (free for publication)","Nm-2070d1d32336e0d637534832d0d20100",18,222
"2021","2021","2021","date",0,0,"E02000657","Lewisham 005","E02000657","2021 super output areas - middle layer",152,3,"1","Occupancy rating of bedrooms: +2 or more","_1","Occupancy rating for bedrooms",1000000,1,"20100","Value",519,"A","Normal Value","F","Free (free for publication)","Nm-2070d1d32336e0d637534832d1d20100",19,222
"2021","2021","2021","date",0,0,"E02000657","Lewisham 005","E02000657","2021 super output areas - middle layer",152,3,"2","Occupancy rating of bedrooms: +1","_2","Occupancy rating for bedrooms",1000000,2,"20100","Value",961,"A","Normal Value","F","Free (free for publication)","Nm-2070d1d32336e0d637534832d2d20100",20,222
"2021","2021","2021","date",0,0,"E02000657","Lewisham 005","E02000657","2021 super output areas - middle layer",152,3,"3","Occupancy rating of bedrooms: 0","_3","Occupancy rating for bedrooms",1000000,3,"20100","Value",2027,"A","Normal Value","F","Free (free for publication)","Nm-2070d1d32336e0d637534832d3d20100",21,222
"2021","2021","2021","date",0,0,"E02000657","Lewisham 005","E02000657","2021 super output areas - middle layer",152,3,"4","Occupancy rating of bedrooms: -1","_4","Occupancy rating for bedrooms",1000000,4,"20100","Value",355,"A","Normal Value","F","Free (free for publication)","Nm-2070d1d32336e0d637534832d4d20100",22,222
"2021","2021","2021","date",0,0,"E02000657","Lewisham 005","E02000657","2021 super output areas - middle layer",152,3,"5","Occupancy rating of bedrooms: -2 or less","_5","Occupancy rating for bedrooms",1000000,5,"20100","Value",128,"A","Normal Value","F","Free (free for publication)","Nm-2070d1d32336e0d637534832d5d20100",23,222
"2021","2021","2021","date",0,0,"E02000658","Lewisham 006","E02000658","2021 super output areas - middle layer",152,4,"0","Total: All households","0","Occupancy rating for bedrooms",1000000,0,"20100","Value",3459,"A","Normal Value","F","Free (free for publication)","Nm-2070d1d32336e0d637534833d0d20100",24,222
"2021","2021","2021","date",0,0,"E02000658","Lewisham 006","E02000658","2021 super output areas - middle layer",152,4,"1","Occupancy rating of bedrooms: +2 or more","_1","Occupancy rating for bedrooms",1000000,1,"20100","Value",613,"A","Normal Value","F","Free (free for publication)","Nm-2070d1d32336e0d637534833d1d20100",25,222
"2021","2021","2021","date",0,0,"E02000658","Lewisham 006","E02000658","2021 super output areas - middle layer",152,4,"2","Occupancy rating of bedrooms: +1","_2","Occupancy rating for bedrooms",1000000,2,"20100","Value",854,"A","Normal Value","F","Free (free for publication)","Nm-2070d1d32336e0d637534833d2d20100",26,222
"2021","2021","2021","date",0,0,"E02000658","Lewisham 006","E02000658","2021 super output areas - middle layer",152,4,"3","Occupancy rating of bedrooms: 0","_3","Occupancy rating for bedrooms",1000000,3,"20100","Value",1551,"A","Normal Value","F","Free (free for publication)","Nm-2070d1d32336e0d637534833d3d20100",27,222
"2021","2021","2021","date",0,0,"E02000658","Lewisham 006","E02000658","2021 super output areas - middle layer",152,4,"4","Occupancy rating of bedrooms: -1","_4","Occupancy rating for bedrooms",1000000,4,"20100","Value",349,"A","Normal Value","F","Free (free for publication)","Nm-2070d1d32336e0d637534833d4d20100",28,222
